name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
aaliyah jackson,51.11,47.86,nunley,100,26536.552734375,25516.517578125,1.5
aasha waabberi,45.15217391304348,44.71739130434783,gorzig,46,25170.810546875,24218.494140625,1.25
abd al-hakiim amar,29.0,39.906976744186046,widner,43,24195.013671875,23286.41015625,0.75
abdullah abukar,31.88888888888889,45.96296296296296,gorzig,54,25583.890625,24593.029296875,1.75
abigail,73.0,53.0,neumark,2,26557.017578125,25567.47265625,1.0
abigale,61.0,60.0,neumark,2,25192.02734375,24285.1953125,1.375
abu amjad khazin,40.979166666666664,49.083333333333336,widner,48,24985.552734375,24060.5546875,0.875
adam,61.48514851485149,68.79207920792079,flake_leasure,202,26596.6015625,25611.818359375,1.5
aferdita dzaghig,53.07936507936508,61.77777777777778,jacquemet,63,24815.705078125,23854.1953125,1.125
afredita dzaghig,40.755102040816325,48.3469387755102,jacquemet,49,24603.873046875,23623.947265625,1.0
aisha,55.78175895765472,53.618892508143325,bertrand,307,27000.322265625,25981.62109375,1.5
al-malik khalil,35.348837209302324,44.325581395348834,widner,43,24894.8515625,23993.486328125,1.625
alexander,70.0,68.0,neumark,1,26534.3125,25550.51953125,1.0
alexis,76.0,82.5,neumark,2,26785.50390625,25791.919921875,1.125
ali saeed,47.53846153846154,53.0,oreopoulos,13,26664.2734375,25628.5390625,1.5
alison johnson,67.61538461538461,70.23076923076923,oreopoulos,13,27017.037109375,25979.982421875,1.5
allen wang,55.53846153846154,79.3076923076923,oreopoulos,13,26695.83984375,25681.525390625,1.5
allison,65.14332247557003,64.34527687296416,bertrand,307,26775.435546875,25795.076171875,0.875
amanda,63.70873786407767,58.94174757281554,flake_leasure,206,26734.001953125,25723.818359375,0.875
amber,50.0,56.0,neumark,1,26799.1796875,25793.712890625,1.25
amber sullivan,69.44444444444444,67.77777777777777,gorzig,63,26816.1875,25816.357421875,1.125
amy,66.95566502463055,63.857142857142854,flake_leasure,203,26788.685546875,25787.810546875,1.25
amy rasmussen,54.53,66.33,nunley,100,26518.755859375,25511.701171875,0.75
amy wang,56.333333333333336,65.83333333333333,oreopoulos,6,26834.66015625,25798.98828125,1.125
amy wood,67.60975609756098,66.70731707317073,gorzig,41,26737.517578125,25742.267578125,0.875
andre robinson,57.0,57.86274509803921,gorzig,51,26648.875,25631.326171875,1.625
andrew,62.0,38.0,neumark,1,26610.3359375,25638.791015625,1.0
angela,57.495049504950494,61.68316831683168,farber,101,26770.146484375,25795.685546875,1.125
anne,66.0228013029316,65.8295081967213,bertrand,307,26744.17578125,25733.818359375,1.125
anthony,51.0,63.5,neumark,2,26609.517578125,25628.8828125,1.25
antwan,44.45544554455446,43.76237623762376,flake_leasure,202,25930.01953125,24988.9140625,1.625
arjun kumar,42.6875,64.375,oreopoulos,16,26617.8203125,25571.822265625,1.0
ashley,82.0,79.0,neumark,1,26726.294921875,25721.32421875,0.875
asif sheikh,49.714285714285715,60.714285714285715,oreopoulos,7,25727.61328125,24762.43359375,1.25
austin,55.5,83.5,neumark,2,26546.283203125,25565.052734375,2.0
ava,37.333333333333336,42.0,neumark,3,26659.390625,25691.99609375,0.625
babara,18.0,10.0,neumark,1,25808.93359375,24864.828125,1.0
barbara,45.5,73.5,neumark,2,26725.44921875,25731.96875,1.0
bill zhang,49.88235294117647,65.52941176470588,oreopoulos,17,26968.740234375,25917.0078125,0.75
brad,55.3125,58.786184210526315,bertrand,304,26580.37109375,25602.875,1.375
bradley,59.0,64.7128712871287,flake_leasure,202,26532.5078125,25538.228515625,1.375
brandom,36.0,36.0,neumark,3,25196.701171875,24274.01171875,1.375
brandon,35.0,35.0,neumark,1,26732.2578125,25726.42578125,0.875
brenda,59.0,49.0,neumark,1,26729.869140625,25724.6796875,1.125
brendan,58.33550488599349,62.472312703583064,bertrand,307,26613.55078125,25614.08203125,1.25
brett,56.693811074918564,59.928338762214985,bertrand,307,26605.224609375,25611.154296875,1.75
brianna,41.5,21.5,neumark,2,25822.939453125,24875.79296875,1.5
carol,75.0,53.0,neumark,1,26731.376953125,25742.984375,1.25
