name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
aaliyah jackson,51.11,47.86,nunley,100,44.96584701538086,77.08843231201172,25.5625
aasha waabberi,45.15217391304348,44.71739130434783,gorzig,46,44.47640228271485,75.55529022216797,25.6875
abd al-hakiim amar,29.0,39.906976744186046,widner,43,41.260379791259766,70.14253234863281,25.28125
abdullah abukar,31.88888888888889,45.96296296296296,gorzig,54,44.75060272216797,76.71527862548828,25.6875
abigail,73.0,53.0,neumark,2,45.58492660522461,79.1254653930664,25.90625
abigale,61.0,60.0,neumark,2,44.626914978027344,76.7261962890625,25.65625
abu amjad khazin,40.979166666666664,49.083333333333336,widner,48,44.198429107666016,75.24113464355469,25.21875
adam,61.48514851485149,68.79207920792079,kline,101,45.71342849731445,79.07421875,25.625
aferdita dzaghig,53.07936507936508,61.77777777777778,jacquemet,63,44.27050018310547,75.04205322265625,25.28125
afredita dzaghig,40.755102040816325,48.3469387755102,jacquemet,49,44.73942184448242,75.98654174804688,24.984375
aisha,57.519417475728154,56.55825242718446,bertrand,206,45.66349411010742,79.16131591796875,26.09375
al-malik khalil,35.348837209302324,44.325581395348834,widner,43,44.474510192871094,76.2740249633789,25.53125
alexander,70.0,68.0,neumark,1,45.41863632202149,78.67644500732422,25.78125
alexis,76.0,82.5,neumark,2,45.63225936889648,79.06804656982422,25.8125
ali saeed,47.53846153846154,53.0,oreopoulos,13,45.63914108276367,78.58895874023438,25.6875
alison johnson,67.61538461538461,70.23076923076923,oreopoulos,13,45.45786666870117,78.49684143066406,25.6875
allen wang,55.53846153846154,79.3076923076923,oreopoulos,13,45.82249069213867,78.99689483642578,25.75
allison,64.6747572815534,64.70388349514563,bertrand,206,45.562217712402344,79.04649353027344,25.9375
amanda,63.67619047619048,58.904761904761905,kline,105,45.306522369384766,78.63217163085938,25.46875
amber,50.0,56.0,neumark,1,45.60841751098633,79.10212707519531,25.875
amber sullivan,69.44444444444444,67.77777777777777,gorzig,63,45.44719696044922,78.57642364501953,25.53125
amy,66.8921568627451,63.745098039215684,kline,102,45.658294677734375,79.12674713134766,25.96875
amy rasmussen,54.53,66.33,nunley,100,45.40406036376953,78.60679626464844,25.78125
amy wang,56.333333333333336,65.83333333333333,oreopoulos,6,45.52285385131836,78.66474914550781,25.8125
amy wood,67.60975609756098,66.70731707317073,gorzig,41,45.60273361206055,78.61116790771484,25.8125
andre robinson,57.0,57.86274509803921,gorzig,51,45.82113265991211,79.01595306396484,25.53125
andrew,62.0,38.0,neumark,1,45.649559020996094,79.0389633178711,25.75
angela,57.495049504950494,61.68316831683168,farber,101,45.33577728271485,78.67202758789062,25.9375
anne,64.64077669902913,65.85853658536585,bertrand,206,45.64051055908203,79.12633514404297,25.90625
anthony,51.0,63.5,neumark,2,45.66334533691406,79.03912353515625,25.6875
antwan,44.45544554455446,43.76237623762376,kline,101,45.388397216796875,78.06549835205078,25.84375
arjun kumar,42.6875,64.375,oreopoulos,16,45.82915496826172,79.05937957763672,25.5625
ashley,82.0,79.0,neumark,1,45.576873779296875,79.08439636230469,25.875
asif sheikh,49.714285714285715,60.714285714285715,oreopoulos,7,45.13937759399414,77.56817626953125,25.40625
austin,55.5,83.5,neumark,2,45.67422103881836,79.04969787597656,25.875
ava,37.333333333333336,42.0,neumark,3,45.578269958496094,79.11731719970703,25.9375
babara,18.0,10.0,neumark,1,45.34282684326172,77.89547729492188,24.0625
barbara,45.5,73.5,neumark,2,45.327781677246094,78.61968994140625,25.84375
bill zhang,49.88235294117647,65.52941176470588,oreopoulos,17,45.45011520385742,78.47635650634766,25.625
brad,53.377450980392155,56.94607843137255,bertrand,204,45.64873123168945,79.04828643798828,25.5625
bradley,59.0,64.7128712871287,kline,101,45.43288803100586,78.66667938232422,25.8125
brandom,36.0,36.0,neumark,3,45.51986312866211,77.92159271240234,23.734375
brandon,35.0,35.0,neumark,1,45.358734130859375,78.6192398071289,25.84375
brenda,59.0,49.0,neumark,1,45.27985382080078,78.65457916259766,25.8125
brendan,56.88834951456311,61.762135922330096,bertrand,206,45.65635299682617,79.13009643554688,25.71875
brett,54.54854368932039,59.300970873786405,bertrand,206,45.65980911254883,79.09294128417969,25.59375
brianna,41.5,21.5,neumark,2,45.26482772827149,78.14996337890625,25.84375
carol,75.0,53.0,neumark,1,45.4057731628418,78.64961242675781,25.96875
carolyn,75.33333333333333,64.66666666666667,neumark,3,45.61305618286133,79.1084213256836,26.03125
carrie,61.271844660194176,61.74271844660194,bertrand,206,45.59330368041992,79.06340026855469,26.0
carrie johnson,63.07843137254902,63.23529411764706,jacquemet,51,45.666717529296875,78.91253662109375,25.75
carrie martin,71.08333333333333,67.25,oreopoulos,12,45.69708251953125,78.91911315917969,25.75
chad,53.396039603960396,56.10891089108911,kline,101,45.36613464355469,78.56515502929688,25.296875
chales,47.666666666666664,53.333333333333336,neumark,3,45.44716262817383,77.82616424560547,22.1015625
charles,59.0,80.5,neumark,2,45.39729690551758,78.59969329833984,25.71875
chaudhry mohammad,42.125,59.125,oreopoulos,8,42.09256362915039,72.07492065429688,25.59375
chloe,38.5,31.0,neumark,2,45.2837028503418,78.6240463256836,26.09375
christina,71.0,69.0,neumark,1,45.55899810791016,79.06793975830078,26.09375
chritine,46.5,25.5,neumark,2,45.297149658203125,77.49744415283203,22.68994140625
chrostopher,42.0,65.0,neumark,2,45.02916717529297,76.8263168334961,14.0625
claire kruger,49.97,65.54,nunley,100,45.358421325683594,78.56319427490234,25.78125
cody baker,53.58,61.5,nunley,100,45.7407112121582,78.94453430175781,25.8125
courtney,36.5,83.0,neumark,2,45.57673263549805,79.08157348632812,25.9375
cynthia,50.5,60.25,neumark,4,45.31277084350586,78.66169738769531,26.0625
daniel,55.0,65.5,neumark,2,45.6561393737793,79.05748748779297,25.6875
danielle,75.0,58.0,neumark,2,45.32270812988281,78.71601867675781,25.875
darius jackson,49.46296296296296,55.851851851851855,gorzig,54,45.475364685058594,78.5534896850586,25.59375
darnell,51.570048309178745,55.5024154589372,bertrand,207,45.36435317993164,78.11558532714844,25.78125
